ts,bid,ask,bid_size,ask_size
2020-01-01 00:00:01+00:00,99.9638755664404,99.98583357989743,291,160
2020-01-01 00:00:02+00:00,99.90386532713838,99.99658491962639,198,205
2020-01-01 00:00:04+00:00,99.95803065486727,99.9842652001994,126,118
2020-01-01 00:00:07+00:00,99.94032347406026,99.96703125431758,269,194
2020-01-01 00:00:08+00:00,99.89513511331778,99.94537542524954,227,292
2020-01-01 00:00:10+00:00,99.90144279139896,99.95257824061413,195,162
2020-01-01 00:00:13+00:00,99.91415434515413,99.94009834666711,155,51
2020-01-01 00:00:15+00:00,99.90873943523276,99.95054852150098,228,151
2020-01-01 00:00:17+00:00,99.9104689330602,99.93536771311531,162,55
2020-01-01 00:00:19+00:00,99.91440880779379,99.95199066186905,240,250
2020-01-01 00:00:20+00:00,99.92366095695921,99.9704605093465,170,51
2020-01-01 00:00:22+00:00,99.92843492231671,99.95932293149647,107,150
2020-01-01 00:00:25+00:00,99.93963248196769,99.96060352528076,99,111
2020-01-01 00:00:26+00:00,99.89467241492379,99.94722568474349,263,146
2020-01-01 00:00:28+00:00,99.88089998585858,99.95321563851346,188,257
2020-01-01 00:00:30+00:00,99.88775739773037,99.91917064823254,141,134
2020-01-01 00:00:32+00:00,99.86434660425913,99.9082798837553,77,154
2020-01-01 00:00:34+00:00,99.88837977792656,99.91293671726737,220,169
2020-01-01 00:00:37+00:00,99.84921477194189,99.88757757343234,189,151
2020-01-01 00:00:38+00:00,99.86156317778308,99.88243497606781,95,209
2020-01-01 00:00:41+00:00,99.83925735326163,99.86305194983082,179,169
2020-01-01 00:00:42+00:00,99.83703486454016,99.89834661733067,161,142
2020-01-01 00:00:45+00:00,99.83587878615033,99.90342886408753,109,210
2020-01-01 00:00:46+00:00,99.87243498012059,99.89392316074346,100,85
2020-01-01 00:00:48+00:00,99.85615365509476,99.90209897762155,288,133
2020-01-01 00:00:50+00:00,99.83421927007932,99.88041192667019,270,277
2020-01-01 00:00:52+00:00,99.87872925358047,99.90835961148656,78,192
2020-01-01 00:00:54+00:00,99.8725051889779,99.90934849216842,241,202
2020-01-01 00:00:57+00:00,99.85531921699453,99.89247991216675,155,96
2020-01-01 00:00:59+00:00,99.85699451321385,99.92392006774152,96,299
2020-01-01 00:01:01+00:00,99.91138005414722,99.93296801901623,118,118
2020-01-01 00:01:02+00:00,99.91044760706552,99.934831387825,197,127
2020-01-01 00:01:04+00:00,99.89982272687828,99.93152676856744,62,68
2020-01-01 00:01:06+00:00,99.90755093056659,99.94419916780218,268,130
2020-01-01 00:01:08+00:00,99.92903000683873,99.94995534252652,144,227
2020-01-01 00:01:11+00:00,99.93334374200339,99.97533809873724,203,295
2020-01-01 00:01:12+00:00,99.93379568798063,99.96663682661729,254,143
2020-01-01 00:01:15+00:00,99.92454168410725,99.97632621201191,275,185
2020-01-01 00:01:16+00:00,99.94421726202533,99.97150123064309,155,97
2020-01-01 00:01:19+00:00,99.96594608058278,100.01104816674307,127,282
2020-01-01 00:01:20+00:00,99.99736227018069,100.01959356024894,219,216
2020-01-01 00:01:23+00:00,99.98810065740122,100.01263983653317,78,88
2020-01-01 00:01:25+00:00,99.98784371886906,100.02742305210536,91,102
2020-01-01 00:01:26+00:00,100.00027890575531,100.04198268979495,122,257
2020-01-01 00:01:29+00:00,100.00068626206547,100.02488621941455,249,99
2020-01-01 00:01:30+00:00,99.95923593538433,99.97938969873783,102,141
2020-01-01 00:01:33+00:00,99.95093628314274,99.99252061341122,54,260
2020-01-01 00:01:34+00:00,99.95108612191608,99.97747854518165,287,285
2020-01-01 00:01:37+00:00,99.9468978135672,99.99053856726624,153,100
2020-01-01 00:01:38+00:00,99.96486251610345,99.98543405077051,297,263
2020-01-01 00:01:40+00:00,99.96544240083891,99.99084176353053,150,268
2020-01-01 00:01:42+00:00,99.949560283524,100.00912918800128,58,275
2020-01-01 00:01:44+00:00,99.98515110152017,100.00824999792825,144,272
2020-01-01 00:01:46+00:00,99.96731325498345,100.01450757658287,182,120
2020-01-01 00:01:49+00:00,99.95118976511175,99.98716556081347,108,106
2020-01-01 00:01:50+00:00,99.90418778578952,99.96712040889535,59,158
2020-01-01 00:01:53+00:00,99.93456699782782,99.9550696417018,298,167
2020-01-01 00:01:55+00:00,99.91258916984982,99.93801581680584,201,205
2020-01-01 00:01:56+00:00,99.91172778226496,99.93603905216673,157,297
2020-01-01 00:01:58+00:00,99.89059813533727,99.96117469482972,154,127
2020-01-01 00:02:00+00:00,99.92560371712112,99.95285075863445,121,166
2020-01-01 00:02:03+00:00,99.9421888668144,99.9651320438004,231,227
2020-01-01 00:02:04+00:00,99.94165148922553,99.96986949976554,281,291
2020-01-01 00:02:06+00:00,99.93458120372362,99.98121601716464,276,270
2020-01-01 00:02:08+00:00,99.95983946541368,100.00900449185555,68,292
2020-01-01 00:02:10+00:00,99.9427415761942,99.9641289145493,183,210
2020-01-01 00:02:13+00:00,99.93509154062089,99.96770148092175,266,276
2020-01-01 00:02:14+00:00,99.92997002272837,99.95083443632727,188,60
2020-01-01 00:02:17+00:00,99.92209650253506,99.95671240461894,91,127
2020-01-01 00:02:18+00:00,99.94745337286008,99.98797755198405,88,94
2020-01-01 00:02:20+00:00,99.94983902387357,99.9731475268325,95,98
2020-01-01 00:02:22+00:00,99.93135587237437,99.95652530052779,68,122
2020-01-01 00:02:25+00:00,99.90567006311963,99.94083871129541,159,215
2020-01-01 00:02:26+00:00,99.91381022746347,99.9344489142006,126,275
2020-01-01 00:02:29+00:00,99.90239554622568,99.92696614275692,114,122
2020-01-01 00:02:31+00:00,99.88847967870241,99.91186684760375,88,232
2020-01-01 00:02:33+00:00,99.89469747553937,99.94363200492873,139,112
2020-01-01 00:02:35+00:00,99.93987584403263,99.96478182742234,103,262
2020-01-01 00:02:36+00:00,99.932763022787,99.95927488317078,129,53
2020-01-01 00:02:38+00:00,99.91411844178846,99.95382072688325,110,75
2020-01-01 00:02:40+00:00,99.92907953834722,99.96023802824533,100,83
2020-01-01 00:02:43+00:00,99.92138958241705,99.95947531837874,141,217
2020-01-01 00:02:44+00:00,99.94137271432876,99.967714054905,295,221
2020-01-01 00:02:47+00:00,99.95720754702197,99.98844087109904,55,62
2020-01-01 00:02:48+00:00,99.97066829063733,99.99252176195812,124,265
2020-01-01 00:02:51+00:00,99.95851385677346,100.01235748697937,158,168
2020-01-01 00:02:53+00:00,99.9542745701131,99.99265048799727,276,174
2020-01-01 00:02:54+00:00,99.97104137847268,100.00891548870851,131,299
2020-01-01 00:02:56+00:00,99.99462896798406,100.02523454636378,162,196
2020-01-01 00:02:58+00:00,99.9787550618378,100.00242456097837,82,141
2020-01-01 00:03:00+00:00,99.95339300942253,100.01362858419198,121,66
2020-01-01 00:03:03+00:00,99.98016068710376,100.00628027743969,135,211
2020-01-01 00:03:04+00:00,99.98502105334956,100.01315057091594,54,175
2020-01-01 00:03:07+00:00,99.99684764659244,100.04112999355957,256,245
2020-01-01 00:03:09+00:00,99.98546810446274,100.02607289497888,222,172
2020-01-01 00:03:10+00:00,99.97829838454611,100.02960196642216,270,282
2020-01-01 00:03:12+00:00,99.99400357652954,100.01681035065792,166,165
2020-01-01 00:03:14+00:00,99.9929577545508,100.02167853623676,56,248
2020-01-01 00:03:17+00:00,100.00329742378452,100.04840575987583,53,280
2020-01-01 00:03:18+00:00,100.0242103938395,100.05598979218354,144,121
2020-01-01 00:03:20+00:00,100.04465959956832,100.08408751056268,213,106
2020-01-01 00:03:22+00:00,100.03724675175906,100.09381648368944,285,274
2020-01-01 00:03:25+00:00,100.04744620595322,100.07169705727107,292,61
2020-01-01 00:03:27+00:00,100.06098196515526,100.08743096137539,255,199
2020-01-01 00:03:29+00:00,100.07210947069451,100.0929412246533,271,98
2020-01-01 00:03:31+00:00,100.05607218589705,100.07861861843463,184,205
2020-01-01 00:03:32+00:00,100.03922358333264,100.06369445515779,194,186
2020-01-01 00:03:35+00:00,100.04488968021842,100.06798479967394,124,228
2020-01-01 00:03:37+00:00,100.05296804126849,100.09315214638892,111,253
2020-01-01 00:03:38+00:00,100.04241803470839,100.07704414783748,181,240
2020-01-01 00:03:41+00:00,100.07698709085221,100.09988813943013,282,169
2020-01-01 00:03:43+00:00,100.08860948274489,100.10956753297981,132,76
2020-01-01 00:03:44+00:00,100.07559764325057,100.12664859810658,296,269
2020-01-01 00:03:46+00:00,100.1047925590541,100.13696443639041,58,263
2020-01-01 00:03:49+00:00,100.09624674362968,100.15117314926405,279,183
2020-01-01 00:03:51+00:00,100.09032403869354,100.11650656951583,70,128
2020-01-01 00:03:53+00:00,100.08105898256281,100.11436132371736,91,195
2020-01-01 00:03:54+00:00,100.09240485389337,100.13184679099881,259,84
2020-01-01 00:03:56+00:00,100.09914804615214,100.15470514803839,92,255
2020-01-01 00:03:58+00:00,100.10630432271806,100.13624838435844,66,201
2020-01-01 00:04:00+00:00,100.10768713941113,100.1326079323556,297,230
2020-01-01 00:04:02+00:00,100.10288150408753,100.13791221014155,103,165
2020-01-01 00:04:05+00:00,100.06690475866698,100.1173927188289,51,295
2020-01-01 00:04:06+00:00,100.07077341578474,100.09243612019569,288,184
2020-01-01 00:04:09+00:00,100.05985601671127,100.08498956723751,164,213
2020-01-01 00:04:10+00:00,100.06662757161858,100.10358813945895,190,76
2020-01-01 00:04:12+00:00,100.05362203082112,100.0776629204232,297,129
2020-01-01 00:04:14+00:00,100.06174290660844,100.09376972728289,93,298
2020-01-01 00:04:16+00:00,100.0636975323172,100.08624041000292,275,195
2020-01-01 00:04:18+00:00,100.05506071729465,100.08934388260744,66,91
2020-01-01 00:04:21+00:00,100.03169976959936,100.05600760087091,254,123
2020-01-01 00:04:22+00:00,100.05445965081803,100.08070356356178,211,81
2020-01-01 00:04:25+00:00,100.0851486818332,100.11962091745124,259,214
2020-01-01 00:04:27+00:00,100.06101095969629,100.096284364713,208,169
2020-01-01 00:04:28+00:00,100.03824915759026,100.10510930647905,111,135
2020-01-01 00:04:30+00:00,99.99675192309564,100.0771599067073,240,129
2020-01-01 00:04:33+00:00,100.02050541692937,100.05336866059524,129,88
2020-01-01 00:04:34+00:00,100.02493824216494,100.05224667847214,148,199
2020-01-01 00:04:36+00:00,100.02301925383824,100.05964474675054,97,108
2020-01-01 00:04:39+00:00,99.99985184979863,100.03849212315049,80,85
2020-01-01 00:04:40+00:00,100.03544943214844,100.06589283820973,243,251
2020-01-01 00:04:43+00:00,100.03667865575252,100.09290231632966,126,130
2020-01-01 00:04:45+00:00,100.01482477412893,100.06353112518468,157,250
2020-01-01 00:04:47+00:00,100.01219467962355,100.04157374852147,75,87
2020-01-01 00:04:49+00:00,99.99526984074689,100.04897883373368,180,197
2020-01-01 00:04:51+00:00,99.98308300919567,100.05839444176164,59,111
2020-01-01 00:04:53+00:00,100.03358270389822,100.0598485563929,149,60
2020-01-01 00:04:54+00:00,100.00773885091726,100.05180481633101,198,135
2020-01-01 00:04:57+00:00,99.99685235375108,100.0451954485589,142,106
2020-01-01 00:04:58+00:00,100.0055993190854,100.02701920616613,115,115
2020-01-01 00:05:01+00:00,99.99525983003188,100.02839286259022,97,255
2020-01-01 00:05:02+00:00,99.99355227046604,100.02724790671684,72,58
2020-01-01 00:05:05+00:00,100.00506440593826,100.02588386535454,77,80
2020-01-01 00:05:06+00:00,100.0258413273152,100.06109277397697,267,97
2020-01-01 00:05:08+00:00,100.05426548841952,100.0756784020267,99,158
2020-01-01 00:05:10+00:00,100.05769496073414,100.08569696100317,227,279
2020-01-01 00:05:12+00:00,100.0301933287037,100.06879271305549,122,222
2020-01-01 00:05:14+00:00,100.02322037632858,100.0464622823932,107,93
2020-01-01 00:05:17+00:00,100.00827086431583,100.03227115887601,275,81
2020-01-01 00:05:19+00:00,100.00058216387346,100.03516760688792,175,64
2020-01-01 00:05:21+00:00,99.98702116255187,100.01314503605313,270,258
2020-01-01 00:05:23+00:00,99.9644703604098,100.01598342725698,195,78
2020-01-01 00:05:25+00:00,99.9913128623757,100.01441180062155,51,238
2020-01-01 00:05:26+00:00,100.0103223465392,100.03479636548397,151,144
2020-01-01 00:05:29+00:00,100.00014681665988,100.03943237240628,287,86
2020-01-01 00:05:30+00:00,100.02179462179687,100.06370804769021,81,63
2020-01-01 00:05:32+00:00,99.97524576971234,100.02320709570664,167,220
2020-01-01 00:05:35+00:00,99.98510302302013,100.01269723648302,98,76
2020-01-01 00:05:36+00:00,99.97873947206301,100.00084961156679,228,179
2020-01-01 00:05:39+00:00,99.9848143984369,100.01808509924567,50,201
2020-01-01 00:05:41+00:00,99.98665684982385,100.01197498606464,260,141
2020-01-01 00:05:43+00:00,99.9810026083304,100.02485750151435,226,126
2020-01-01 00:05:45+00:00,99.99003730195925,100.0314937673415,165,118
2020-01-01 00:05:46+00:00,99.98811808403708,100.0278576289539,268,100
2020-01-01 00:05:49+00:00,100.00659813844469,100.02794274760707,80,270
