ts,price,size
2020-01-01 00:00:01+00:00,99.98846574767289,8
2020-01-01 00:00:03+00:00,100.04350729267391,7
2020-01-01 00:00:05+00:00,100.06407737403651,2
2020-01-01 00:00:07+00:00,100.03425560363314,8
2020-01-01 00:00:09+00:00,100.02561556613524,7
2020-01-01 00:00:11+00:00,99.98239408949097,8
2020-01-01 00:00:13+00:00,99.97901532232648,5
2020-01-01 00:00:14+00:00,99.98530573148277,8
2020-01-01 00:00:16+00:00,99.92557218939577,8
2020-01-01 00:00:18+00:00,99.93772232047658,8
2020-01-01 00:00:20+00:00,99.91046110889118,7
2020-01-01 00:00:23+00:00,99.946473020954,4
2020-01-01 00:00:25+00:00,99.94194173038005,7
2020-01-01 00:00:26+00:00,99.99179241876415,1
2020-01-01 00:00:28+00:00,99.92528787082763,9
2020-01-01 00:00:31+00:00,99.92886364963803,3
2020-01-01 00:00:32+00:00,99.92962731988047,6
2020-01-01 00:00:35+00:00,99.96047626965404,6
2020-01-01 00:00:36+00:00,99.9298064279143,7
2020-01-01 00:00:38+00:00,99.95958094562563,3
2020-01-01 00:00:41+00:00,99.93452943794055,6
2020-01-01 00:00:42+00:00,99.96638335778205,9
2020-01-01 00:00:44+00:00,99.98161066173303,9
2020-01-01 00:00:46+00:00,99.99739383323262,3
2020-01-01 00:00:49+00:00,100.03196021785308,1
2020-01-01 00:00:50+00:00,100.05683487755711,7
2020-01-01 00:00:53+00:00,99.99986279374828,7
2020-01-01 00:00:54+00:00,100.04697621707138,2
2020-01-01 00:00:56+00:00,100.01353202919121,1
2020-01-01 00:00:59+00:00,100.03299639120861,5
2020-01-01 00:01:01+00:00,100.04055748639107,5
2020-01-01 00:01:03+00:00,100.03939270243022,8
2020-01-01 00:01:05+00:00,100.02949395775558,7
2020-01-01 00:01:07+00:00,100.04922529699357,9
2020-01-01 00:01:09+00:00,99.98824555258689,8
2020-01-01 00:01:11+00:00,100.00080791626881,1
